tag,method,path,operationId,auth,param_count,request_body,success_codes,summary,response_schemas
offices/report,GET,/api-v2/offices/report/tenant-payment-report,OfficesReportController_getTenantPaymentReport,Yes,3,,200,,200=>application/json:object
offices/report,GET,/api-v2/offices/report/tenant-turnover-report,OfficesReportController_getOfficeTurnoverReport,Yes,3,,200,,200=>application/json:object
offices/report,GET,/api-v2/offices/report/unit-discount-logs-report,OfficesReportController_getUnitDiscountLogsReport,Yes,1,,200,,200=>application/json:object
offices/report,GET,/api-v2/offices/report/vacancy-report,OfficesReportController_getVacancyReport,Yes,1,,200,,200=>application/json:object
outgoing-payments,GET,/api-v2/outgoing-payments,OutGoingPaymentController_index,Yes,7,,200,,200=>application/json:object
outgoing-payments,GET,/api-v2/outgoing-payments/{id},OutGoingPaymentController_getById,Yes,1,,200,,200=>application/json:object
outgoing-payments,POST,/api-v2/outgoing-payments,OutGoingPaymentController_create,Yes,0,application/json:CreateOutgoingPayment,201,,201=>application/json:object
outgoing-payments,PATCH,/api-v2/outgoing-payments/{id},OutGoingPaymentController_updateOutGoingPayment,Yes,1,application/json:UpdateOutgoingPayment,200,,200=>application/json:object
outgoing-payments,DELETE,/api-v2/outgoing-payments/{id},OutGoingPaymentController_deleteOutGoingPayment,Yes,1,,200,,200=>application/json:object
owners,GET,/api-v2/owners,OwnerController_getAll,Yes,7,,200,,200=>application/json:array<object>
owners,GET,/api-v2/owners/{id},OwnerController_findById,Yes,1,,200,,200=>application/json:OwnerDto
owners,POST,/api-v2/owners,OwnerController_create,Yes,0,application/json:CreateOwnerValidation,201,,201=>application/json:OwnerDto
owners,PATCH,/api-v2/owners/{id},OwnerController_update,Yes,1,application/json:UpdateOwnerValidation,200,,200=>application/json:OwnerDto
owners,DELETE,/api-v2/owners/{id},OwnerController_deleteOwnerById,Yes,1,,200,,200=>application/json:object
package,GET,/api-v2/package,PackageController_index,Yes,7,,200,,200=>application/json:object
package,GET,/api-v2/package/{id},PackageController_getById,Yes,1,,200,,200=>application/json:object
package,POST,/api-v2/package,PackageController_create,Yes,0,application/json:CreatePackage,201,,201=>application/json:object
package,POST,/api-v2/package/{id}/reminder,PackageController_sendPackageReminder,Yes,1,,201,,201=>application/json:object
package,PATCH,/api-v2/package/{id},PackageController_updatePackage,Yes,1,application/json:UpdatePackage,200,,200=>application/json:object
package,PATCH,/api-v2/package/{id}/pick,PackageController_pickPackage,Yes,1,,200,,200=>application/json:object
package,DELETE,/api-v2/package/{id},PackageController_removePackage,Yes,1,,200,,200=>application/json:object
payment-batches,GET,/api-v2/payment-batches,PaymentBatchController_index,Yes,7,,200,,200=>application/json:object
payment-batches,GET,/api-v2/payment-batches/payment-processor,PaymentBatchController_getPaymentProcessorBatchById,Yes,1,,200,,200=>application/json:object
payment-batches,GET,/api-v2/payment-batches/{id},PaymentBatchController_getById,Yes,2,,200,,200=>application/json:object
payment-batches,POST,/api-v2/payment-batches,PaymentBatchController_create,Yes,0,application/json:CreatePaymentBatch,201,,201=>application/json:object
payment-batches,POST,/api-v2/payment-batches/webhook,PaymentBatchController_webhook,Yes,0,application/json:AutomaticBatchValidation,201,,201=>application/json:object
payment-batches,PUT,/api-v2/payment-batches/{id},PaymentBatchController_updateAccountingCode,Yes,1,application/json:UpdatePaymentBatch,200,,200=>application/json:object
payments,GET,/api-v2/payments,PaymentController_index,Yes,7,,200,,200=>application/json:object
payments,GET,/api-v2/payments/{id},PaymentController_getById,Yes,2,,200,,200=>application/json:object
payments,POST,/api-v2/payments,PaymentController_create,Yes,0,application/json:CreateBulkPayment,201,,201=>application/json:array<PaymentDTO>
payments,POST,/api-v2/payments/chargebacks,PaymentController_post,Yes,0,application/json:CreateChargeBackValidation,201,,201=>application/json:object
payments,PATCH,/api-v2/payments/{id},PaymentController_updatePayment,Yes,1,application/json:UpdatePayment,200,,200=>application/json:PaymentDTO
payments,DELETE,/api-v2/payments/{id},PaymentController_deletePayment,Yes,1,,200,,200=>application/json:number
pdf-integration,POST,/api-v2/pdf/future-invoice,PDFIntegrationController_getInvoiceTemplates,Yes,0,application/json:GenerateFutureInvoiceValidation,201,,201=>application/json:object
pipeline-stages,GET,/api-v2/pipeline-stages,PipelineStagesController_getAll,Yes,0,,200,,200=>application/json:array<PipelineStageDTO>
pipeline-stages,GET,/api-v2/pipeline-stages/{pipelineId},PipelineStagesController_getByPipelineId,Yes,1,,200,,200=>application/json:array<PipelineStageDTO>
pipeline-stages,POST,/api-v2/pipeline-stages,PipelineStagesController_create,Yes,0,application/json:CreatePipelineStageValidation,201,,201=>application/json:PipelineStageDTO
pipeline-stages,PATCH,/api-v2/pipeline-stages/{pipelineStageId},PipelineStagesController_update,Yes,1,application/json:UpdatePipelineStageValidation,200,,200=>application/json:PipelineStageDTO
pipelines,GET,/api-v2/pipelines,PipelineController_getAll,Yes,6,,200,,200=>application/json:PipelinePaginator
pipelines,POST,/api-v2/pipelines,PipelineController_create,Yes,0,application/json:CreatePipelineValidation,201,,201=>application/json:PipelineDTO
pipelines,PATCH,/api-v2/pipelines/{id},PipelineController_update,Yes,1,application/json:UpdatePipelineValidation,200,,200=>application/json:PipelineDTO
reconciliations,GET,/api-v2/reconciliations,ReconciliationController_index,Yes,7,,200,,200=>application/json:object
reconciliations,GET,/api-v2/reconciliations/{id},ReconciliationController_getById,Yes,2,,200,,200=>application/json:object
reconciliations,POST,/api-v2/reconciliations,ReconciliationController_create,Yes,0,application/json:CreateReconciliation,201,,201=>application/json:object
reconciliations,PUT,/api-v2/reconciliations/{id},ReconciliationController_updateReconciliation,Yes,1,application/json:UpdateReconciliation,200,,200=>application/json:object
reconciliations,DELETE,/api-v2/reconciliations/{id},ReconciliationController_deleteById,Yes,1,,200,,200=>application/json:object
registers,GET,/api-v2/registers,RegisterController_index,Yes,8,,200,,200=>application/json:object
registers,GET,/api-v2/registers/12-months-rolling,RegisterController_twelve_months_rolling,Yes,8,,200,,200=>application/json:object
registers,GET,/api-v2/registers/balance-sheet,RegisterController_balanceSheet,Yes,8,,200,,
registers,GET,/api-v2/registers/budget-vs-actual,RegisterController_getBudgetVsActualReport,Yes,3,,200,,200=>application/json:object
registers,GET,/api-v2/registers/income-expense-report,RegisterController_getIncomeExpenseTransactionReport,Yes,8,,200,,
registers,GET,/api-v2/registers/member/{memberId},RegisterController_getMemberInvoices,Yes,1,,200,,200=>application/json:object
registers,GET,/api-v2/registers/operating-statement,RegisterController_operating_statement,Yes,8,,200,,200=>application/json:object
registers,GET,/api-v2/registers/pnl,RegisterController_pnl,Yes,6,,200,,200=>application/json:object
registers,GET,/api-v2/registers/total,RegisterController_total,Yes,8,,200,,200=>application/json:object
scheduledReports,GET,/api-v2/scheduled-reports,ScheduledReportsController_index,Yes,0,,200,,200=>application/json:object
scheduledReports,GET,/api-v2/scheduled-reports/test,ScheduledReportsController_test,Yes,0,,200,,
scheduledReports,POST,/api-v2/scheduled-reports,ScheduledReportsController_create,Yes,0,application/json:CreateScheduledReportDtoValidation,201,,201=>application/json:object
scheduledReports,PATCH,/api-v2/scheduled-reports/{id},ScheduledReportsController_update,Yes,1,application/json:UpdateScheduledReportDtoValidation,200,,200=>application/json:object
settings,GET,/api-v2/settings/approval-config,SettingsControllers_getApprovalViewers,No,0,,200,,200=>application/json:object
settings,GET,/api-v2/settings/listings,SettingsControllers_getListingSettings,No,0,,200,,200=>application/json:object
settings,GET,/api-v2/settings/version,SettingsControllers_getVersion,No,0,,200,,
settings,PUT,/api-v2/settings/approval-bills,SettingsControllers_updateApprovalBills,No,0,application/json:UpdateBillApprovalType,200,,200=>application/json:object
settings,PUT,/api-v2/settings/external,SettingsControllers_updateExternalSettings,No,0,application/json:array<string>,200,,200=>application/json:object
settings,PUT,/api-v2/settings/update-invoice-reminder-cron/{id},SettingsControllers_updateInvoiceReminderCron,No,1,application/json:UpdateInvoiceReminderCron,200,,
settings,PUT,/api-v2/settings/{id},SettingsControllers_update,No,1,application/json:UpdateClientSettings,200,,
ticket-tags,GET,/api-v2/ticket-tags,TicketTagsController_findAll,Yes,7,,200,,200=>application/json:object
ticket-tags,GET,/api-v2/ticket-tags/get-vendor-referral-tag-assignments,TicketTagsController_getAllAssignments,Yes,7,,200,,200=>application/json:object
ticket-tags,POST,/api-v2/ticket-tags/assign-vendor-to-tag,TicketTagsController_createReferralTagAssignments,Yes,0,application/json:CreateReferralTagAssignment,201,,201=>application/json:object
ticket-tags,PATCH,/api-v2/ticket-tags/update-assign-vendor/{id},TicketTagsController_updateReferralTagAssignment,Yes,1,application/json:UpdateReferralTagAssignment,200,,200=>application/json:object
ticket-tags,DELETE,/api-v2/ticket-tags/delete-assign-vendor/{id},TicketTagsController_removeReferralTagAssignment,Yes,1,,200,,200=>application/json:object
tickets,GET,/api-v2/tickets,TicketsController_findAll,Yes,7,,200,,200=>application/json:object
tickets,GET,/api-v2/tickets/{id}/comments,TicketsController_getAllTicketComments,Yes,1,,200,,200=>application/json:object
time-logs,GET,/api-v2/time-logs,TimeLogsController_get,Yes,7,,200,,200=>application/json:object
time-logs,GET,/api-v2/time-logs/time-logs-report,TimeLogsController_getOutstandingCamsReport,Yes,3,,200,,
time-logs,GET,/api-v2/time-logs/{id},TimeLogsController_getById,Yes,2,,200,,200=>application/json:object
time-logs,POST,/api-v2/time-logs,TimeLogsController_create,Yes,0,application/json:CreateTimeLogValidation,201,,201=>application/json:object
time-logs,PUT,/api-v2/time-logs/{id},TimeLogsController_update,Yes,1,application/json:UpdateTimeLogValidation,200,,200=>application/json:object
time-logs,DELETE,/api-v2/time-logs/{id},TimeLogsController_deleteById,Yes,1,,200,,200=>application/json:object
tours,GET,/api-v2/tours,ToursController_getAll,Yes,7,,200,,200=>application/json:ToursPaginator
tours,POST,/api-v2/tours,ToursController_create,Yes,0,application/json:CreateTour,201,,201=>application/json:TourDTO
tours,PATCH,/api-v2/tours/{id},ToursController_update,Yes,1,application/json:UpdateTour,200,,200=>application/json:TourDTO
tours,PATCH,/api-v2/tours/{id}/approve,ToursController_approve,Yes,1,,200,,200=>application/json:object
